каникулы;начало;окончание;кол-во дней
осенние;28.10.2023;07.11.2023;10 дней
зимние(дек.);30.12.2023;07.01.2024;9 дней
зимние(фев.);17.02.2024;26.02.2024;9 дней
весенние;06.04.2024;14.04.2024;9 дней
всего;;;37 дней
